player_id,player_name,team_id,season,n_matches,n_starts,start_rate_all,n_hard,n_hard_starts,start_rate_hard,n_easy,n_easy_starts,start_rate_easy,rotation_elasticity
10807,Jan Paul van Hecke,Brighton,2023,28.0,26.0,0.9285714285714286,10.0,8.0,0.8,9.0,9.0,1.0,-0.19999999999999996
10807,Jan Paul van Hecke,Brighton,2024,34.0,33.0,0.9705882352941176,11.0,10.0,0.9090909090909091,11.0,11.0,1.0,-0.09090909090909094
10808,Daniel Iversen,Leicester,2022,12.0,12.0,1.0,4.0,4.0,1.0,5.0,5.0,1.0,0.0
10809,Keane Lewis-Potter,Brentford,2022,10.0,3.0,0.3,1.0,0.0,0.0,5.0,1.0,0.2,-0.2
10809,Keane Lewis-Potter,Brentford,2023,30.0,15.0,0.5,10.0,3.0,0.3,11.0,6.0,0.5454545454545454,-0.24545454545454543
10809,Keane Lewis-Potter,Brentford,2024,38.0,36.0,0.9473684210526315,13.0,13.0,1.0,13.0,12.0,0.9230769230769231,0.07692307692307687
10822,Wilson Odobert,Burnley,2023,29.0,25.0,0.8620689655172413,12.0,10.0,0.8333333333333334,7.0,6.0,0.8571428571428571,-0.023809523809523725
10822,Wilson Odobert,Tottenham,2024,16.0,9.0,0.5625,7.0,4.0,0.5714285714285714,3.0,1.0,0.3333333333333333,0.23809523809523808
1084,Jonjoe Kenny,Everton,2021,15.0,11.0,0.7333333333333333,6.0,6.0,1.0,4.0,2.0,0.5,0.5
10845,Flynn Downes,Southampton,2024,27.0,25.0,0.9259259259259259,11.0,10.0,0.9090909090909091,10.0,9.0,0.9,0.009090909090909038
10845,Flynn Downes,West Ham,2022,21.0,7.0,0.3333333333333333,9.0,5.0,0.5555555555555556,5.0,1.0,0.2,0.35555555555555557
10846,Julián Álvarez,Man City,2022,31.0,13.0,0.41935483870967744,10.0,5.0,0.5,13.0,4.0,0.3076923076923077,0.1923076923076923
10846,Julián Álvarez,Man City,2023,36.0,31.0,0.8611111111111112,12.0,12.0,1.0,12.0,11.0,0.9166666666666666,0.08333333333333337
10847,Rico Lewis,Man City,2022,14.0,10.0,0.7142857142857143,5.0,4.0,0.8,6.0,3.0,0.5,0.30000000000000004
10847,Rico Lewis,Man City,2023,16.0,8.0,0.5,5.0,2.0,0.4,6.0,3.0,0.5,-0.09999999999999998
10847,Rico Lewis,Man City,2024,28.0,21.0,0.75,7.0,5.0,0.7142857142857143,13.0,10.0,0.7692307692307693,-0.05494505494505497
10856,Emmanuel Agbadou,Wolves,2024,23.0,23.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,0.0
10864,Marcos Senesi,Bournemouth,2022,31.0,29.0,0.9354838709677419,13.0,11.0,0.8461538461538461,9.0,9.0,1.0,-0.15384615384615385
10864,Marcos Senesi,Bournemouth,2023,31.0,26.0,0.8387096774193549,12.0,9.0,0.75,8.0,6.0,0.75,0.0
